time, x, y
182.305,1.8048523798806384,-2.2718724719578383
182.557,1.8211879485159996,-2.3029075279031765
182.807,1.8397317481131295,-2.3381044439158862
183.054,1.8560382498102581,-2.3690075776656614
183.304,1.8723882758780992,-2.40002364714513
183.557,1.8909583026374823,-2.4351787739855375
183.806,1.9097003280882436,-2.470628951927904
184.057,1.9259774522012725,-2.5014508631114816
184.305,1.9446564699442277,-2.536723948419811
184.559,1.9610552824845582,-2.5676907698251434
184.813,1.9797057572801633,-2.602919056865648
185.055,1.9960523183658563,-2.6337296553572225
185.315,2.0148774194008476,-2.669225163735407
185.555,2.031142451045816,-2.6998716313689446
185.804,2.0396749887756247,-2.715950683713314
186.062,2.038989781577229,-2.7149357596447876
186.309,2.038171980673958,-2.714013329787246
186.554,2.037673536835099,-2.7135664410564058
186.805,2.037238214914406,-2.7132976089994956
187.055,2.0369736889361065,-2.7131492238909405
187.307,2.040861015792623,-2.7154031404859964
187.562,2.054121408123868,-2.723744778581685
187.808,2.086952688110268,-2.7458220426411466
188.058,2.115799503348343,-2.7652745384060924
188.304,2.1446726319315976,-2.784779988772207
188.559,2.1779457718338593,-2.807260930054376
188.808,2.2109150102259294,-2.829585858853796
189.057,2.2398045740967287,-2.8491672598966606
189.307,2.2730539226173043,-2.871719135334486
189.561,2.3017218778760227,-2.891208331586689
189.806,2.3348392814022105,-2.9137335116125054
190.056,2.3637727332090024,-2.933435239345571
190.305,2.396633660983831,-2.9558578487549045
190.567,2.425544919301815,-2.9755892817155125
190.805,2.458493840317278,-2.99811217851106
191.064,2.4872437441408355,-3.0178006252414455
191.304,2.520374856285254,-3.0404927856618835
191.554,2.5490117041221945,-3.0601473553586644
191.804,2.5777546716536146,-3.0798979957513803
192.054,2.6108620231411086,-3.1026568206628036
192.309,2.643609568805175,-3.125221792056195
192.563,2.6723742251146505,-3.145053461130565
192.804,2.7012310473932652,-3.1649667844104745
193.055,2.733923328582867,-3.187575524533042
193.304,2.766896625510759,-3.2103876631370634
193.558,2.795537289136835,-3.2302301272303717
193.807,2.828325102299203,-3.252990650294299
194.06,2.85710617740346,-3.2729723073687
194.306,2.8898207907107794,-3.295729391518744
194.555,2.918438986181748,-3.315663233218633
194.805,2.9514012117282906,-3.3386325841024918
195.054,2.979837465568049,-3.3584922970993363
195.309,3.012642563668158,-3.3814182673726765
