time, x, y
104.288,0.12629406830977402,-0.7205002321130071
104.537,0.12629236365862517,-0.7204986383962372
104.787,0.12629041385583595,-0.7204969053649717
105.038,0.12628868832251866,-0.7204954507289738
105.286,0.12628671498293256,-0.7204938775781247
105.543,0.1262849684389057,-0.7204925652176698
105.791,0.12628297018667073,-0.7204911556880395
106.042,0.12628120155976763,-0.7204899889525305
106.288,0.12627917859843787,-0.7204887469727009
106.539,0.1262773882554622,-0.7204877294521802
106.791,0.1262753409592557,-0.7204866590895609
107.042,0.12627352941992948,-0.720485794258083
107.289,0.12627146307738998,-0.7204848994490735
107.538,0.12626969209298047,-0.7204841915250818
107.786,0.12626776253085334,-0.7204834773847446
108.037,0.12626614469987657,-0.7204829293586413
108.289,0.12626440769027095,-0.7204823983040942
108.546,0.12626277579786802,-0.7204819646433169
108.792,0.12626145226294824,-0.7204816683861064
109.04,0.12626022520035088,-0.7204814487910179
109.292,0.12625896130503958,-0.7204812951478344
109.539,0.1262579682358008,-0.7204812454463518
109.802,0.12625698573496666,-0.7204812874085744
110.044,0.12625615921787361,-0.7204814363835752
110.289,0.12625557697350903,-0.7204816551640221
110.536,0.12625513053568904,-0.7204819594407206
110.793,0.12625479974532308,-0.7204824100649803
111.036,0.12625466919900055,-0.7204829001973825
111.29,0.12625472660430015,-0.7204835663490133
111.541,0.1262549284081552,-0.7204842503707013
111.799,0.12625519520885653,-0.7204851386381879
112.036,0.1262554242514542,-0.7204860174714736
112.313,0.12625571078061057,-0.7204872787171325
112.543,0.12625589979836732,-0.7204882042678731
112.789,0.12625614773628782,-0.7204895412953801
113.041,0.12625636440476962,-0.7204908185190352
113.305,0.12625660787185342,-0.7204923863910506
113.542,0.12625681960542787,-0.7204938686885289
113.786,0.12625705694532074,-0.7204956720854835
114.055,0.12625729183165815,-0.7204976102975232
114.29,0.126257494329617,-0.7204994070511026
114.537,0.12625769456365984,-0.7205013111366358
114.787,0.12625792016004234,-0.7205035980437408
115.044,0.12625811782292443,-0.7205057188641185
115.292,0.12625833848698428,-0.7205082548287799
115.541,0.12625852942597984,-0.7205105966444069
115.791,0.12625874285059785,-0.7205133859001908
116.037,0.12625893447887732,-0.7205159532768357
116.287,0.12625914931324664,-0.7205190026401206
116.544,0.12625933815737492,-0.7205218011848105
116.808,0.12625955262801294,-0.720525116231837
117.037,0.12625972716076297,-0.7205281503027954
117.293,0.12625989516815464,-0.7205317310716053
117.568,0.1262600278915713,-0.7205354660356358
117.798,0.1262601112709457,-0.7205388407290809
118.045,0.12626016652062907,-0.7205428402056707
118.292,0.12626017731232614,-0.7205464459253359
118.538,0.1262601528183204,-0.7205501756218544
118.803,0.12626007866373481,-0.7205545475165573
119.042,0.1262599709634749,-0.7205585097103379
119.291,0.12625979829814293,-0.7205631457965657
119.544,0.12625960142690748,-0.7205673401078763
119.787,0.1262593261586067,-0.7205722398191927
120.04,0.12625903625216675,-0.7205766658742214
120.291,0.1262586508310601,-0.7205818284882872
120.544,0.1262582639407643,-0.7205864854861381
120.8,0.1262577671455983,-0.7205919104117978
121.04,0.12625727919476948,-0.7205967976065357
121.294,0.12625666798692894,-0.7206024836563946
121.545,0.12625607780494316,-0.7206076001991747
121.791,0.1262553484455717,-0.7206135462400914
122.041,0.1262546536357492,-0.7206188908733683
122.292,0.12625380463462993,-0.7206250953116418
122.546,0.12625300422498997,-0.7206306664966046
122.809,0.12625203368730922,-0.7206371277746592
123.043,0.12625112720845452,-0.7206429242468346
123.297,0.12625003661288922,-0.7206496408346988
123.542,0.12624887799149953,-0.7206565184466796
123.797,0.12624793091343814,-0.7206626373051268
124.046,0.1262468335266789,-0.7206697875321432
124.317,0.12624571713240884,-0.7206770860446905
124.537,0.12624486813277938,-0.720682650678808
124.801,0.1262437214714726,-0.7206901814116056
125.048,0.12624254985754915,-0.7206978896916293
125.295,0.12624150988558377,-0.7207047389561374
125.544,0.1262402976534215,-0.7207127285272413
125.79,0.12623922143458013,-0.7207198237811921
126.045,0.12623796644282959,-0.7207280956740467
126.289,0.12623685165261972,-0.7207354377118577
126.545,0.126235713347992,-0.7207429273604685
126.787,0.126234396058103,-0.7207515827203417
127.039,0.1262332161737942,-0.7207593213908002
127.294,0.1262318503425251,-0.7207682599864436
127.536,0.12623062651634442,-0.7207762480270289
127.804,0.12622920960971495,-0.7207854705122336
128.042,0.12622793989899164,-0.7207937085052947
128.288,0.12622646941095494,-0.7208032150412008
