time,goal_x,goal_y,x,y,er_x,er_y
37.583,-3.8917448801792487,-1.82938392020012,-4.019287595518051,-1.3295884826625608,-3.7642021648404462,-2.3291793577376794
37.833,-3.889885107901759,-1.8365097593456343,-4.019283059129351,-1.3295858684897774,-3.7604871566741673,-2.343433650201491
38.083,-3.891017750376564,-1.831910524069462,-4.019277901174975,-1.3295828953493176,-3.7627575995781535,-2.3342381527896063
38.333,-3.8909426423194953,-1.832043980565368,-4.01927336266618,-1.329580278582501,-3.7626119219728102,-2.334507682548235
38.583,-3.8905088876063836,-1.8334288544741004,-4.019268202299248,-1.3295773024897883,-3.7617495729135197,-2.3372804064584125
38.833,-3.890156637954565,-1.8346458212263412,-4.019263661667058,-1.3295746831230357,-3.761049614242072,-2.3397169593296465
39.083,-3.8907651314852445,-1.83210327300187,-4.019258498886952,-1.329571704073378,-3.762271764083537,-2.3346348419303617
39.333,-3.8912453965486735,-1.830064856693188,-4.019253956125911,-1.329569082101292,-3.763236836971436,-2.330560631285084
39.583,-3.8907330363586654,-1.8317556179577235,-4.019248790921421,-1.329566100087004,-3.7622172817959094,-2.3339451358284427
39.833,-3.890929736050289,-1.830826641594121,-4.019244246029369,-1.3295634755070276,-3.7626152260712096,-2.332089807681214
40.083,-3.8899273914808314,-1.8345795053299248,-4.019239078402061,-1.3295604905266878,-3.7606157045596023,-2.339598520133162
40.333,-3.8904076142342636,-1.832543205203314,-4.019234531378151,-1.3295578633360408,-3.761580697090376,-2.335528547070587
40.583,-3.890689870929859,-1.8311290734324592,-4.0192293613268735,-1.329554875386378,-3.762150380532845,-2.3327032714785405
40.833,-3.8901524595575725,-1.833065127596004,-4.019224812170093,-1.3295522455821822,-3.7610801069450517,-2.3365780096098256
41.083,-3.890077125128539,-1.8331965965943997,-4.019219639693685,-1.3295492546599246,-3.7609346105633925,-2.3368439385288746
41.333,-3.889786497634399,-1.8341687234345498,-4.019215088403006,-1.3295466222392958,-3.760357906865792,-2.338790824629804
41.583,-3.8908017736953173,-1.8298989464109585,-4.019209913500312,-1.3295436283411666,-3.762393633890323,-2.3302542644807507
41.833,-3.8902335964148467,-1.8319522432090263,-4.0192053600747215,-1.3295409933012188,-3.7612618327549723,-2.3343634931168338
42.083,-3.889619984959984,-1.8341798822026616,-4.019200182744579,-1.3295379964239316,-3.760039787175389,-2.3388217679813916
42.333,-3.8896975641858655,-1.8337165956856913,-4.019195627183053,-1.3295353587617738,-3.760199501188678,-2.3378978326096087
42.583,-3.8898575386159955,-1.8327807248349064,-4.019190447424299,-1.329532358902039,-3.760524629807692,-2.336029090767774
