47.311,-6.909519248258832,3.78013344484738,-7.702219007125723,2.7434202824074276,-6.116819489391941,4.816846607287332
47.561,-6.833020060210542,3.7585497619047104,-7.673301306736691,2.7811040596842886,-5.992738813684394,4.735995464125132
47.811,-6.824387049295524,3.847076491740758,-7.649002052346085,2.8151273149666345,-5.999772046244962,4.879025668514881
48.061,-6.784320064198159,3.876700665873343,-7.620791660912807,2.852188381848994,-5.94784846748351,4.901212949897692
48.311,-6.806007698529861,3.944950685369597,-7.597344121804855,2.8853957399555488,-6.014671275254868,5.004505630783646
48.561,-6.724509615654085,3.950263432033579,-7.5699259467939415,2.9220373250436147,-5.879093284514228,4.978489539023544
48.811,-6.709448143548741,4.035990869284433,-7.546727890414133,2.954947570811066,-5.87216839668335,5.1170341677578
49.061,-6.681390753352718,4.065544669419165,-7.519308623488357,2.9925135565983045,-5.84347288321708,5.138575782240025
49.311,-6.679316867729613,4.1376549692367615,-7.495329829675698,3.0270182991176613,-5.863303905783528,5.2482916393558625
49.561,-6.59412813123418,4.132412887786323,-7.46739495952063,3.065465414624347,-5.720861302947732,5.199360360948299
